ano_campeonato,mes,dia,week_day,rodada,estadio,arbitro,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
2012,10,25,4,33,Estádio Moisés Lucarelli,Elmo Alves Resende Cunha,Ponte Preta,Cruzeiro,Guto Ferreira,Celso Roth,13,9,3400000,9900000,26.2,28.3,1,0,1,0,5,5,19,12,12,17,2,3,0,0,17,8,12,3
2012,11,11,0,35,Estádio Moisés Lucarelli,Ricardo Marques Ribeiro,Ponte Preta,Internacional,Guto Ferreira,Fernandão,13,6,3950000,36300000,25.9,28.5,1,0,1,0,3,3,19,27,25,19,1,2,2,2,8,3,2,1
2012,5,26,6,2,Estádio Serra Dourada,Manuel Lopo Garrido,Atlético-GO,Ponte Preta,Adilson Batista,Gilson Kleina,14,18,4450000,3000000,27.6,26.8,1,1,1,0,9,4,16,21,21,16,2,5,0,2,19,9,8,2
2012,6,24,0,6,Estádio Serra Dourada,Paulo César de Oliveira,Atlético-GO,Fluminense,Hélio dos Anjos,Abel Braga,19,4,4450000,20900000,27.8,27.1,1,4,1,2,5,11,19,12,12,19,4,1,4,2,17,13,5,6
2012,7,19,4,10,Estádio Serra Dourada,Wilson Luiz Seneme,Atlético-GO,Figueirense FC,Jairo,Argel Fucks,20,14,3800000,5500000,27.8,27.2,3,2,1,1,11,2,15,21,20,14,1,5,1,2,24,3,13,1
2012,8,4,6,14,Estádio Serra Dourada,Nielson Nogueira Dias,Atlético-GO,Botafogo,Jairo,Oswaldo de Oliveira,19,8,3950000,15700000,26.2,27.6,1,2,1,0,4,7,20,13,13,20,2,5,2,3,13,9,4,5
2012,8,15,3,17,Estádio Serra Dourada,Marcos André Gomes da Penha,Atlético-GO,Atlético-MG,Jairo,Cuca,20,1,3100000,22500000,26.3,27.5,1,1,1,1,7,6,12,17,16,12,3,6,0,3,24,8,11,2
2012,8,19,0,18,Estádio Serra Dourada,Sandro Ricci,Atlético-GO,Palmeiras,Jairo,Luiz Felipe Scolari,19,15,4100000,14700000,25.7,26.1,2,1,1,1,6,4,14,20,19,12,2,6,0,3,22,10,8,6
2012,9,9,0,23,Estádio Serra Dourada,Grazianni Maciel Rocha,Atlético-GO,Portuguesa,Jairo,Geninho,20,11,3100000,4300000,26.1,28.9,1,1,1,0,10,6,14,12,11,14,1,5,1,1,19,8,10,4
2012,9,12,3,24,Estádio Serra Dourada,Ricardo Marques Ribeiro,Atlético-GO,Coritiba FC,Arthur Neto,Marquinhos Santos,20,16,3550000,4500000,26.2,26.7,1,2,1,1,4,7,17,14,13,17,2,3,0,0,15,11,6,7
2012,9,23,0,26,Estádio Serra Dourada,Paulo César de Oliveira,Atlético-GO,Flamengo,Arthur Neto,Dorival Júnior,20,13,3400000,18600000,26.9,26,1,2,1,1,3,6,18,9,9,17,2,1,2,0,13,9,3,6
2012,7,8,0,8,Estádio Governador Magalhães Pinto,André Luiz de Freitas Castro,Atlético-MG,Portuguesa,Cuca,Geninho,1,12,23350000,4450000,28.1,26.7,2,0,1,0,3,5,15,14,13,14,1,3,0,2,15,11,9,6
2012,7,18,3,10,Estádio Governador Magalhães Pinto,Marcelo Aparecido Ribeiro de Souza,Atlético-MG,Internacional,Cuca,Dorival Júnior,1,5,25100000,11500000,27.8,27.5,3,1,1,0,1,5,10,10,10,10,4,0,2,3,7,9,3,2
2012,7,26,4,12,Estádio Governador Magalhães Pinto,Antônio Denival de Morais,Atlético-MG,Santos FC,Cuca,Muricy Ramalho,1,15,25650000,15900000,27.6,26.4,2,0,1,0,1,5,18,11,11,18,2,4,2,3,16,8,9,1
2012,8,19,0,18,Estádio Governador Magalhães Pinto,Anderson Daronco,Atlético-MG,Botafogo,Cuca,Oswaldo de Oliveira,1,6,22150000,16650000,28.3,27,3,2,1,1,5,1,18,13,13,16,5,5,0,2,24,11,7,5
2012,8,29,3,20,Estádio Governador Magalhães Pinto,Wilton Sampaio,Atlético-MG,Ponte Preta,Cuca,Gilson Kleina,1,13,24150000,3850000,28.2,27.1,2,2,1,1,3,8,10,13,13,8,3,1,1,1,9,18,2,9
