ano_campeonato,mes,dia,week_day,rodada,estadio,arbitro,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante,winner
2008,6,22,0,7,3,18,3,18,3,23,4,7,8050000,13550000,27.0,25.6,1.0,0.0,6,6,17,21,21,15,3,1,2,1,14,15,7,9,1
2008,7,20,0,13,3,19,3,11,3,12,10,8,7200000,13300000,26.0,25.6,0.0,0.0,6,4,14,17,14,13,3,3,2,3,17,8,7,4,0
2008,8,10,0,19,3,20,3,4,4,3,17,18,7600000,13550000,27.5,24.2,0.0,0.0,9,2,11,22,19,9,2,4,1,1,16,11,5,5,1
2008,8,24,0,22,3,21,3,16,4,17,18,1,5900000,20300000,27.9,24.8,0.0,0.0,3,3,17,17,17,15,2,2,1,4,17,6,11,2,0
2008,9,6,6,24,3,22,3,15,4,16,18,20,5550000,4550000,28.3,25.6,0.0,0.0,1,6,18,14,13,17,2,1,1,1,9,11,4,6,1
2008,9,28,0,27,3,0,3,0,4,0,14,2,5500000,22550000,29.1,27.2,0.0,0.0,6,2,21,18,17,21,1,2,1,3,14,15,5,6,0
2008,10,25,6,31,3,22,3,17,4,22,16,17,6200000,6400000,27.7,27.6,1.0,0.0,2,11,16,15,15,16,4,4,0,3,17,16,10,5,0
2008,5,18,0,2,4,13,4,18,5,24,13,11,8200000,12950000,27.1,26.2,0.0,0.0,3,4,19,14,13,18,0,4,0,2,14,6,8,3,0
2008,5,25,0,3,4,15,4,15,5,25,14,20,8500000,3150000,27.7,24.5,1.0,0.0,6,11,11,20,20,11,2,5,1,3,20,12,11,4,0
2008,7,6,0,9,4,18,4,3,5,26,18,20,6850000,33650000,29.2,25.9,1.0,0.0,5,10,12,17,17,12,2,2,1,3,12,18,5,6,1
2008,7,12,6,11,4,23,4,13,5,14,17,10,6850000,6200000,28.2,24.2,0.0,0.0,3,4,15,13,12,15,0,4,1,3,12,11,4,3,0
2008,8,2,6,17,4,21,4,17,5,22,18,13,5450000,11200000,27.9,27.7,1.0,0.0,5,4,12,12,12,11,0,5,1,2,18,5,4,3,1
2008,8,6,3,18,4,19,4,5,5,5,13,6,7100000,27150000,28.5,26.6,0.0,0.0,3,4,15,17,16,15,0,4,6,1,14,4,3,4,1
2008,8,17,0,20,4,4,4,2,5,2,13,15,7950000,7350000,28.9,27.4,1.0,0.0,9,6,15,21,21,14,2,2,1,1,17,10,9,3,1
2008,8,30,6,23,4,24,4,7,5,27,13,12,6600000,8750000,28.7,25.3,1.0,0.0,10,4,13,18,18,13,7,7,8,1,17,13,9,1,1
2008,9,3,3,24,4,9,4,6,5,7,10,16,6450000,8800000,27.2,24.5,3.0,0.0,6,4,14,19,18,13,0,5,1,3,12,3,5,3,1
2008,9,20,6,26,4,14,4,4,5,4,10,13,6900000,14200000,28.4,28.3,3.0,0.0,4,3,17,14,13,17,1,5,3,0,15,6,5,5,1
2008,9,27,6,27,4,5,4,12,5,13,9,8,6600000,7100000,27.5,26.5,1.0,0.0,7,7,17,13,11,16,5,4,2,1,23,15,10,6,1
2008,11,2,0,33,4,2,4,1,6,1,9,3,9350000,28150000,27.8,24.8,3.0,0.0,8,6,13,11,9,13,0,2,0,1,17,17,8,7,1
2008,11,16,0,35,4,2,4,8,6,20,9,8,9500000,14000000,29.5,26.8,2.0,0.0,5,4,14,13,12,11,2,7,2,1,27,8,5,5,1
2008,6,1,0,4,5,1,5,6,7,2,10,5,22200000,7750000,27.5,24.8,0.0,0.0,12,4,13,14,13,12,3,8,0,1,19,5,1,1,1
2008,6,29,0,8,5,10,5,2,7,19,5,4,30900000,7950000,27.3,26.3,1.0,0.0,10,1,7,6,6,7,2,5,0,1,23,5,7,1,1
2008,7,10,4,10,5,13,5,7,7,27,5,10,22050000,9250000,26.0,24.8,0.0,0.0,11,3,13,8,8,12,6,6,0,2,21,16,7,5,0
2008,7,30,3,16,5,14,5,5,7,5,6,2,24700000,28900000,26.8,26.6,0.0,0.0,0,10,12,12,12,12,3,3,0,1,7,13,2,9,1
2008,8,7,4,18,5,5,5,12,7,13,3,5,27600000,8900000,26.6,26.4,1.0,0.0,7,2,14,16,16,14,2,9,1,2,19,8,4,3,1
